Year,Month,Day,Hr1,Hr2,Hr3,Hr4,Hr5,Hr6,Hr7,Hr8,Hr9,Hr10,Hr11,Hr12,Hr13,Hr14,Hr15,Hr16,Hr17,Hr18,Hr19,Hr20,Hr21,Hr22,Hr23,Hr24,Hr25
2019,1,1,15053,14481,13927,13566,13353,13475,13846,14199,14570,15172,15796,16202,16281,16245,16420,16772,17713,18830,18788,18508,18070,17388,16399,15460,
2019,1,2,14781,14410,14207,14215,14547,15509,17189,18528,18925,19077,19018,18859,18733,18897,19070,19330,20115,21109,20963,20518,19859,18942,17616,16316,
2019,1,3,15369,14858,14575,14453,14643,15482,17057,18333,18755,18975,19142,19158,19021,18993,19034,19276,20021,20888,20775,20340,19730,18835,17620,16376,
2019,1,4,15497,14960,14684,14594,14858,15749,17441,18698,18980,18973,18855,18700,18456,18441,18442,18611,19223,20078,19891,19379,18874,18184,17166,16064,
2019,1,5,15127,14519,14201,14038,14083,14382,14998,15740,16472,17205,17624,17812,17795,17724,17675,17753,18268,18996,18949,18560,18139,17532,16720,15844,
2019,1,6,15023,14433,14041,13853,13851,14064,14553,15162,15826,16478,16938,16933,16950,17056,17194,17502,18363,19540,19712,19443,19056,18346,17394,16406,
2019,1,7,15724,15326,15155,15158,15498,16546,18377,19652,19968,20120,20188,20106,19962,19986,20061,20406,21196,21993,21814,21380,20622,19642,18291,16982,
2019,1,8,16011,15447,15131,14999,15174,15995,17564,18852,19302,19455,19524,19493,19422,19348,19254,19276,19835,20561,20401,19908,19276,18321,17136,15928,
2019,1,9,15038,14545,14293,14250,14518,15453,17251,18467,18776,18931,18999,19043,19009,19091,19117,19404,20105,21046,20950,20564,19943,19056,17853,16693,
2019,1,10,15879,15420,15149,15107,15385,16339,18069,19384,19719,19904,20012,20177,20046,19949,19967,20224,20879,21968,21959,21561,20951,20021,18813,17590,
2019,1,11,16777,16317,16103,16090,16357,17337,19175,20451,20729,20749,20623,20434,20197,20114,20124,20376,21033,21997,21990,21579,21032,20328,19332,18249,
2019,1,12,17366,16850,16509,16314,16297,16678,17336,18109,18815,19277,19245,19135,18910,18732,18759,18968,19564,20537,20590,20200,19762,19161,18385,17535,
2019,1,13,16743,16203,15882,15726,15753,16035,16559,17225,17921,18382,18481,18495,18487,18466,18557,18808,19596,20785,20893,20620,20219,19404,18396,17425,
2019,1,14,16749,16394,16196,16157,16427,17411,19197,20514,20836,20955,20819,20556,20178,20025,19969,20243,20844,22064,22139,21779,21160,20286,19007,17723,
2019,1,15,16750,16309,16050,15986,16176,17139,18935,20226,20507,20541,20487,20342,20162,20113,20080,20239,20792,21748,21701,21330,20692,19752,18459,17213,
2019,1,16,16291,15829,15559,15482,15744,16634,18357,19661,20042,20287,20353,20148,19939,19872,19826,19948,20526,21514,21535,21150,20541,19653,18441,17244,
2019,1,17,16456,16061,15878,15878,16197,17190,18971,20270,20526,20549,20411,20231,20025,20080,20191,20509,21050,21986,21945,21559,20939,19985,18709,17442,
2019,1,18,16504,16004,15707,15592,15847,16743,18357,19570,20018,20348,20443,20315,20175,20064,19964,20004,20484,21034,20850,20383,19829,19080,18040,17026,
2019,1,19,16133,15597,15346,15257,15348,15718,16385,17175,17977,18581,18948,19069,19183,19223,19292,19473,19944,20670,20636,20260,19825,19180,18363,17444,
2019,1,20,16675,16115,15731,15539,15518,15725,16143,16661,17361,18250,18966,19452,19568,19584,19643,19839,20382,21565,21791,21543,21138,20510,19712,18835,
2019,1,21,18118,17748,17573,17540,17821,18487,19643,20724,21649,22349,22826,23072,23061,22952,22877,22924,23487,24615,24728,24269,23639,22581,21174,19885,
2019,1,22,19013,18482,18201,18110,18332,19213,20789,21909,22260,22338,22221,21984,21608,21523,21387,21503,22022,23114,23135,22761,22082,21005,19574,18303,
2019,1,23,17409,16903,16591,16427,16631,17499,19103,20246,20656,20923,21067,21009,20834,20597,20430,20404,20778,21504,21379,20925,20213,19199,17909,16571,
2019,1,24,15669,15113,14743,14658,14849,15715,17350,18675,19119,19478,19787,19894,19906,19915,19843,19859,20190,20804,20899,20538,19970,19092,17987,16833,
2019,1,25,16041,15571,15292,15218,15466,16379,17984,19219,19627,19767,19683,19512,19297,19292,19395,19583,20156,21122,21209,20818,20308,19627,18700,17665,
2019,1,26,16898,16432,16110,16003,16066,16408,17150,17895,18531,18922,18857,18698,18460,18255,18201,18401,18988,19995,20227,19884,19466,18908,18138,17274,
2019,1,27,16465,15951,15635,15470,15459,15650,16064,16605,17096,17462,17679,17782,17867,17855,17892,18111,18716,19752,19972,19680,19176,18410,17405,16430,
2019,1,28,15764,15421,15273,15336,15699,16759,18594,19845,20295,20433,20373,20277,20171,20099,20045,20255,20793,21908,22163,21923,21324,20397,19056,17758,
2019,1,29,16888,16425,16131,16078,16316,17245,18920,20108,20620,20945,21006,20956,20863,20848,20668,20732,21177,21968,21905,21443,20817,19846,18537,17283,
2019,1,30,16506,16119,15935,16005,16417,17392,19128,20430,20817,20906,20877,20765,20697,20758,21091,21617,22365,23469,24062,23880,23338,22525,21319,20163,
2019,1,31,19378,18989,18745,18702,18917,19750,21275,22529,23056,23172,23031,22815,22608,22455,22368,22519,23067,24206,24580,24246,23640,22694,21378,20142,
2019,2,1,19374,18938,18629,18548,18780,19666,21360,22454,22661,22671,22578,22416,22003,21647,21524,21615,22082,22949,23158,22811,22289,21586,20606,19606,
2019,2,2,18749,18258,17932,17768,17788,18170,18853,19527,20170,20426,20450,20187,19968,19662,19463,19448,19840,20685,20870,20471,19978,19291,18365,17487,
2019,2,3,16610,16025,15685,15478,15478,15692,16151,16642,17255,17637,17730,17694,17495,17305,17199,17439,18103,19080,19221,18675,18260,17736,16976,15967,
2019,2,4,15150,14714,14473,14393,14682,15650,17360,18473,18643,18560,18374,18118,17941,17826,17821,17984,18437,19487,19898,19605,18996,18069,16830,15660,
2019,2,5,14834,14358,14044,13964,14205,15125,16828,17912,18293,18464,18497,18260,18008,17919,17940,18154,18653,19567,19841,19520,18963,18086,17029,15887,
2019,2,6,15073,14652,14439,14458,14769,15757,17565,18617,18801,18762,18716,18780,18757,18921,19067,19306,19812,20528,20594,20189,19525,18587,17394,16146,
2019,2,7,15305,14838,14573,14517,14753,15653,17389,18557,18926,19178,19272,19215,19111,19030,18941,19043,19440,20143,20235,19831,19188,18238,16965,15761,
2019,2,8,14965,14460,14188,14155,14396,15290,17018,18234,18830,19112,19292,19223,19023,18749,18532,18715,19246,20091,20427,20120,19741,19138,18292,17340,
2019,2,9,16627,16173,15916,15850,15920,16291,16989,17735,18367,18722,18893,18848,18584,18351,18265,18362,18878,19767,20275,20067,19691,19169,18381,17513,
2019,2,10,16767,16276,15976,15790,15818,16075,16570,17030,17470,17645,17706,17701,17770,17703,17691,17841,18472,19604,20051,19794,19317,18583,17623,16585,
2019,2,11,15825,15403,15179,15142,15439,16346,18113,19420,19876,20029,20038,19921,19723,19633,19512,19646,20138,21000,21367,21050,20433,19551,18328,17121,
2019,2,12,16318,15881,15642,15623,15935,16805,18373,19588,20296,20881,21297,21502,21504,21475,21345,21288,21474,22146,22186,21608,20858,19748,18427,17161,
2019,2,13,16246,15763,15492,15396,15634,16489,18031,19057,19519,19562,19512,19523,19533,19644,19754,19882,20196,20977,21405,21113,20561,19607,18368,17131,
2019,2,14,16331,15857,15572,15504,15787,16711,18412,19423,19702,19582,19354,19022,18727,18605,18486,18561,18998,19866,20365,20050,19535,18697,17560,16379,
2019,2,15,15480,14997,14712,14618,14832,15675,17265,18361,18874,19118,19251,19212,19020,18735,18455,18375,18715,19427,19647,19280,18724,17988,17039,16045,
2019,2,16,15293,14835,14536,14423,14513,14882,15601,16263,16865,17187,17280,17202,17061,16806,16713,16841,17334,18256,18891,18733,18424,17898,17221,16435,
2019,2,17,15824,15413,15155,15032,15087,15374,15861,16279,16633,16781,16856,16777,16802,16999,17010,17109,17630,18634,19184,18926,18539,17946,17165,16300,
2019,2,18,15623,15224,14997,14920,15113,15724,16735,17564,18343,19008,19461,19597,19392,19333,19246,19169,19432,20174,20892,20676,20190,19410,18394,17359,
