"Year","Month","Day","Hr1","Hr2","Hr3","Hr4","Hr5","Hr6","Hr7","Hr8","Hr9","Hr10","Hr11","Hr12","Hr13","Hr14","Hr15","Hr16","Hr17","Hr18","Hr19","Hr20","Hr21","Hr22","Hr23","Hr24","Hr25"
2023,1,1,14247,13783,13389,13115,13036,13116,13471,13792,14080,14355,14458,14585,14752,14979,15257,15690,16466,17323,17284,17018,16632,16142,15458,14692,
2023,1,2,14060,13642,13376,13305,13404,13769,14390,15029,15621,16040,16204,16134,16149,16072,16230,16691,17596,18531,18473,18111,17543,16737,15818,14923,
2023,1,3,14234,13767,13499,13482,13705,14505,15941,17106,17672,17945,18234,18497,18482,18481,18393,18454,18922,19458,19191,18620,17982,17087,16012,15001,
2023,1,4,14288,13802,13531,13419,13587,14298,15703,16814,17107,17128,17102,17105,17102,17360,17489,17717,18335,18907,18623,18159,17588,16811,15721,14753,
2023,1,5,14036,13599,13345,13268,13456,14246,15714,16897,17337,17440,17432,17286,17211,17339,17438,17762,18397,19087,18900,18501,17932,17139,16135,15203,
2023,1,6,14485,14010,13762,13724,13902,14638,16060,17237,17752,18024,18108,18023,17906,17874,17892,18075,18635,19212,18983,18482,17993,17358,16519,15687,
2023,1,7,14971,14531,14262,14063,14111,14433,15002,15620,16270,16746,16919,16736,16667,16744,16932,17187,17789,18489,18470,18215,17862,17389,16718,16018,
2023,1,8,15405,14951,14651,14515,14517,14764,15223,15754,16073,16145,16079,16046,16074,16203,16499,17056,18050,19037,19079,18850,18429,17758,16857,16006,
2023,1,9,15332,14906,14666,14612,14825,15583,17041,18260,18719,18756,18356,18002,17705,17681,17857,18383,19246,20104,20021,19592,18965,18152,17113,16118,
2023,1,10,15420,14970,14715,14641,14867,15691,17099,18286,18687,18821,18818,18841,18881,18941,19000,19187,19690,20343,20153,19697,19124,18340,17258,16293,
2023,1,11,15648,15231,15013,15002,15283,16113,17557,18730,18969,18724,18409,18179,18121,18401,18619,19002,19620,20326,20131,19721,19100,18266,17140,16174,
2023,1,12,15443,14963,14698,14603,14790,15530,16930,18067,18572,18958,19136,19089,19003,18951,18920,19003,19440,19813,19534,19063,18400,17484,16418,15401,
2023,1,13,14705,14190,13923,13850,14011,14783,16094,17394,17959,18212,18292,18370,18347,18313,18338,18498,18991,19546,19350,18932,18453,17803,17010,16241,
2023,1,14,15579,15144,14902,14826,14899,15239,15844,16613,17369,17984,18309,18447,18431,18342,18311,18449,18959,19674,19680,19378,19011,18446,17741,17045,
2023,1,15,16364,15891,15579,15438,15430,15638,16050,16557,17072,17343,17369,17230,16960,16777,16829,17421,18173,19294,19383,19103,18808,18248,17507,16792,
2023,1,16,16210,15832,15573,15541,15703,16284,17283,18206,18702,18593,18178,17859,17465,17249,17378,17971,19025,20101,20060,19690,19125,18300,17348,16401,
2023,1,17,15732,15311,15100,15052,15318,16154,17660,18787,18991,18762,18614,18883,19018,19135,19032,19089,19570,20141,19895,19376,18640,17761,16643,15673,
2023,1,18,14982,14543,14292,14212,14422,15204,16627,17725,18096,18163,17974,17752,17660,17753,17830,18081,18667,19448,19280,18840,18275,17488,16473,15494,
2023,1,19,14822,14399,14168,14156,14387,15156,16684,17809,18328,18651,18939,19089,19204,19285,19188,19308,19625,20042,19786,19278,18634,17759,16737,15717,
2023,1,20,14980,14507,14262,14209,14365,15162,16579,17722,18099,18172,18206,18250,18446,18411,18274,18430,18906,19472,19236,18788,18272,17625,16763,15904,
