date,y_true,y_pred
2024-01-31,18154.625,18814.822
2024-02-01,17823.584,18509.115
2024-02-02,17613.584,17862.016
2024-02-03,16430.75,17121.57
2024-02-04,16203.042,16363.518
2024-02-05,17442.543,17590.469
2024-02-06,17628.25,17970.771
2024-02-07,17495.125,18034.846
2024-02-08,16830.041,17920.686
2024-02-09,16252.708,17012.012
2024-02-10,15266.792,16094.709
2024-02-11,15634.0,15589.526
2024-02-12,17021.457,17240.527
2024-02-13,17805.25,17432.633
2024-02-14,18200.0,17891.78
2024-02-15,18394.707,18259.514
2024-02-16,17780.168,17931.748
2024-02-17,17555.043,16904.615
2024-02-18,17456.334,17060.455
2024-02-19,17325.207,18309.77
2024-02-20,17841.0,17383.105
2024-02-21,17424.834,18048.06
2024-02-22,17353.793,17671.629
2024-02-23,16716.084,17348.47
2024-02-24,16197.042,16255.07
2024-02-25,16383.917,16311.596
2024-02-26,16473.793,17490.41
2024-02-27,16058.666,16857.836
2024-02-28,16525.957,16558.324
2024-02-29,17566.75,16945.506
2024-03-01,16763.209,17488.043
2024-03-02,16122.708,15742.83
2024-03-03,14652.625,15515.773
2024-03-04,15319.959,15683.434
2024-03-05,16028.709,16086.811
2024-03-06,16213.208,16439.031
2024-03-07,15880.0,16158.512
2024-03-08,15311.625,15721.508
2024-03-09,15824.209,14883.816
2024-03-10,15630.391,15543.794
2024-03-11,16506.75,16403.064
2024-03-12,15336.499,16675.62
2024-03-13,14991.667,15483.557
2024-03-14,14880.458,15389.673
2024-03-15,15272.708,15025.1
2024-03-16,13975.459,14896.057
2024-03-17,14033.041,14070.145
2024-03-18,15929.083,15261.923
2024-03-19,16391.875,16132.241
2024-03-20,16571.25,16322.18
2024-03-21,17100.25,16444.615
2024-03-22,17307.084,16638.045
2024-03-23,16718.334,16147.33
2024-03-24,15588.501,15385.123
2024-03-25,15999.209,16248.49
2024-03-26,16065.041,16391.598
2024-03-27,15977.001,16473.139
2024-03-28,16068.334,16341.779
2024-03-29,15373.792,15988.191
2024-03-30,14352.25,14876.798
2024-03-31,13534.75,14324.546
2024-04-01,15312.792,14720.944
2024-04-02,16129.041,15790.523
2024-04-03,16960.209,16107.91
2024-04-04,16570.375,16440.816
2024-04-05,16182.417,15946.611
2024-04-06,14836.417,15339.042
2024-04-07,13818.542,14490.7705
2024-04-08,14981.625,14921.118
2024-04-09,14448.667,15550.67
2024-04-10,14800.499,15047.964
2024-04-11,15243.375,15304.608
2024-04-12,15083.333,15109.662
2024-04-13,14530.999,14376.8955
2024-04-14,13970.042,14204.249
2024-04-15,14596.084,14712.857
2024-04-16,14145.501,14958.057
2024-04-17,14850.333,14644.064
2024-04-18,15594.001,15064.545
2024-04-19,14956.25,15328.289
2024-04-20,13862.541,14285.946
2024-04-21,14115.958,13851.183
2024-04-22,14269.374,15086.341
2024-04-23,14264.501,14628.296
2024-04-24,14809.999,14668.267
2024-04-25,14328.834,15042.396
