datetime,actual,forecast
2024-01-01,16156.666666666666,16802.935621109744
2024-01-02,17646.375,16902.03357835863
2024-01-03,17821.208333333332,16905.689959582083
2024-01-04,17926.583333333332,16842.039686822558
2024-01-05,18477.166666666668,16691.244959325682
2024-01-06,17758.5,15771.645015823842
2024-01-07,17419.083333333332,15614.375716963024
2024-01-08,17899.625,16978.76465598499
2024-01-09,18154.291666666668,17140.854460429862
2024-01-10,17109.291666666668,17204.840218023928
2024-01-11,17348.083333333332,17197.519359972554
2024-01-12,16957.458333333332,17097.802935776333
2024-01-13,16230.75,16222.893799398818
2024-01-14,17156.416666666668,16102.931834965158
2024-01-15,18758.333333333332,17496.41131013081
2024-01-16,19622.625,17678.722486876282
2024-01-17,20177.083333333332,17753.60299042245
2024-01-18,20158.791666666668,17747.596947926762
2024-01-19,19802.958333333332,17639.570628320274
2024-01-20,19724.875,16746.890023647804
2024-01-21,19309.833333333332,16600.06054534236
2024-01-22,19506.5,17958.13409162464
2024-01-23,18614.25,18097.23590162196
2024-01-24,18097.5,18121.997092461144
2024-01-25,17127.125,18059.991385344652
2024-01-26,17301.166666666668,17891.225331939775
2024-01-27,16326.625,16934.288131360456
2024-01-28,16854.25,16720.96191410186
2024-01-29,18271.5,18011.598486526927
2024-01-30,18454.666666666668,18083.61570442258
2024-01-31,18154.625,18042.900120752627
2024-02-01,17823.583333333332,17918.215139797114
2024-02-02,17613.583333333332,17690.664673680396
2024-02-03,16430.75,16679.81901827202
2024-02-04,16203.041666666666,16418.30437776122
2024-02-05,17442.541666666668,17667.162497825524
2024-02-06,17628.25,17704.333944420774
2024-02-07,17495.125,17636.05193615775
2024-02-08,16830.041666666668,17491.246113934554
2024-02-09,16252.708333333334,17251.00628189403
2024-02-10,15266.791666666666,16234.712761650246
2024-02-11,15634.0,15974.63460471136
2024-02-12,17021.458333333332,17231.301835264498
2024-02-13,17805.25,17282.00487861715
2024-02-14,18200.0,17232.207618253615
2024-02-15,18394.708333333332,17109.972930460855
2024-02-16,17780.166666666668,16895.45014091376
2024-02-17,17555.041666666668,15907.030416475434
2024-02-18,17456.333333333332,15675.970686360923
2024-02-19,17325.208333333332,16961.791608964035
2024-02-20,17841.0,17040.80209572508
2024-02-21,17424.833333333332,17017.536219268608
2024-02-22,17353.791666666668,16919.20078267208
2024-02-23,16716.083333333332,16725.182479614235
2024-02-24,16197.041666666666,15753.220213682758
2024-02-25,16383.916666666666,15534.042805757175
2024-02-26,16473.791666666668,16826.777328197666
2024-02-27,16058.666666666666,16907.48039247079
2024-02-28,16525.958333333332,16880.5781287668
2024-02-29,17566.75,16773.313141613093
2024-03-01,16763.208333333332,16565.247472446583
2024-03-02,16122.708333333334,15574.427327701302
2024-03-03,14652.625,15332.010073854644
2024-03-04,15319.958333333334,16597.659084116858
2024-03-05,16028.708333333334,16648.059171852234
2024-03-06,16213.208333333334,16588.338808526714
2024-03-07,15880.0,16446.49790675531
2024-03-08,15311.625,16202.890719702149
2024-03-09,15824.208333333334,15176.370145245404
2024-03-10,15630.391304347826,14898.89446171219
2024-03-11,16506.75,16130.902587238277
2024-03-12,15336.5,16149.811074516416
2024-03-13,14991.666666666666,16061.419472972835
2024-03-14,14880.458333333334,15894.32322077673
2024-03-15,15272.708333333334,15629.383938735053
2024-03-16,13975.458333333334,14585.863667587673
2024-03-17,14033.041666666666,14296.024256310113
2024-03-18,15929.083333333334,15520.498099309103
2024-03-19,16391.875,15536.783464572725
2024-03-20,16571.25,15450.651001060138
2024-03-21,17100.25,15290.560473439671
2024-03-22,17307.083333333332,15037.137416325493
2024-03-23,16718.333333333332,14009.316011071516
2024-03-24,15588.5,13738.949103656692
2024-03-25,15999.208333333334,14986.191231205046
2024-03-26,16065.041666666666,15028.007537445352
2024-03-27,15977.0,14969.59478298574
2024-03-28,16068.333333333334,14838.813105962901
2024-03-29,15373.791666666666,14615.677833292079
2024-03-30,14352.25,13618.517264456159
2024-03-31,13534.75,13378.596985633985
2024-04-01,15312.791666666666,14655.516250002862
2024-04-02,16129.041666666666,14725.729009514005
2024-04-03,16960.208333333332,14693.975551793797
2024-04-04,16570.375,14587.723193360855
2024-04-05,16182.416666666666,14386.66517611398
2024-04-06,14836.416666666666,13408.883588741708
2024-04-07,13818.541666666666,13185.476823946168
2024-04-08,14981.625,14475.957112522481
2024-04-09,14448.666666666666,14556.770774566652
2024-04-10,14800.5,14532.727242305293
2024-04-11,15243.375,14431.435447704987
2024-04-12,15083.333333333334,14232.796899160754
2024-04-13,14531.0,13255.16147520371
2024-04-14,13970.041666666666,13029.946674436944
2024-04-15,14596.083333333334,14317.026106018317
2024-04-16,14145.5,14393.240111881596
2024-04-17,14850.333333333334,14363.81482697725
2024-04-18,15594.0,14256.788516423812
2024-04-19,14956.25,14052.494747807834
2024-04-20,13862.541666666666,13069.708643075894
2024-04-21,14115.958333333334,12840.257143998857
2024-04-22,14269.375,14124.399244678245
2024-04-23,14264.5,14199.329223489995
2024-04-24,14810.0,14170.589292058954
2024-04-25,14328.833333333334,14066.490581055197
2024-04-26,14161.208333333334,13867.59207182065
2024-04-27,13588.166666666666,12892.843739932712
2024-04-28,13549.0,12674.194839328167
2024-04-29,15292.291666666666,13971.973250424093
2024-04-30,14900.583333333334,14063.388873294802
2024-05-01,14606.583333333334,14053.947413946144
2024-05-02,14580.666666666666,13971.873399916876
2024-05-03,14247.5,13797.591939795588
2024-05-04,13422.458333333334,12849.875391812599
2024-05-05,14081.625,12660.455765610113
2024-05-06,14607.125,13989.408676190365
2024-05-07,14639.791666666666,14113.661729175079
2024-05-08,15722.125,14138.41358846561
2024-05-09,15042.083333333334,14091.562472261057
2024-05-10,14812.875,13953.193509595403
2024-05-11,13286.708333333334,13041.731048532572
2024-05-12,13436.625,12888.5566746144
2024-05-13,14498.083333333334,14253.398701110706
2024-05-14,14779.625,14412.845959786573
2024-05-15,15308.875,14471.772098952066
2024-05-16,15158.75,14457.769094675126
2024-05-17,14944.875,14350.639370182567
2024-05-18,14040.083333333334,13468.552578541578
2024-05-19,14002.375,13342.667770809665
2024-05-20,15734.833333333334,14732.52667299556
2024-05-21,17038.083333333332,14914.570859582656
2024-05-22,18099.041666666668,14993.568985802194
2024-05-23,17705.708333333332,14997.052736258102
2024-05-24,17250.5,14904.810833134545
2024-05-25,15634.583333333334,14035.04710448557
2024-05-26,15939.5,13919.003278752949
2024-05-27,16623.916666666668,15316.352173159956
2024-05-28,17332.416666666668,15503.714010374362
2024-05-29,16414.375,15586.08197750831
2024-05-30,15355.125,15591.25564473886
2024-05-31,15240.833333333334,15499.331557328527
2024-06-01,15007.625,14628.856986072427
2024-06-02,15755.541666666666,14511.44750365406
2024-06-03,18680.958333333332,15907.174075375342
2024-06-04,18962.333333333332,16093.072441381812
2024-06-05,19208.708333333332,16174.560970678038
2024-06-06,19803.125,16179.865695301918
2024-06-07,18240.791666666668,16089.501954668887
2024-06-08,15800.666666666666,15222.418776188822
2024-06-09,15538.291666666666,15110.606824275044
2024-06-10,16550.375,16514.475792129022
2024-06-11,16500.916666666668,16711.35421791113
2024-06-12,16669.708333333332,16806.898124245057
2024-06-13,18245.208333333332,16829.50741797362
2024-06-14,19187.5,16759.799712959295
2024-06-15,16369.0,15916.747933149267
2024-06-16,15555.416666666666,15832.282751073006
2024-06-17,19695.916666666668,17266.665944530316
2024-06-18,22024.875,17496.98784002324
2024-06-19,22666.583333333332,17628.575401002083
2024-06-20,23348.791666666668,17689.41002282666
2024-06-21,23739.458333333332,17659.604782653267
2024-06-22,22293.833333333332,16857.54754245072
2024-06-23,22024.458333333332,16814.510953042784
2024-06-24,20328.0,18290.035383737923
2024-06-25,20347.208333333332,18560.437835519526
2024-06-26,21896.375,18730.2332329594
2024-06-27,19766.166666666668,18826.56694271468
2024-06-28,17237.666666666668,18828.70800481093
2024-06-29,17873.583333333332,18054.20916904098
2024-06-30,19159.083333333332,18033.5344404389
2024-07-01,17964.708333333332,19525.459783652062
2024-07-02,18448.5,19805.59964635918
2024-07-03,19335.333333333332,19977.845285793082
2024-07-04,19512.666666666668,20068.813331208887
2024-07-05,22294.25,20057.353660389264
2024-07-06,21835.125,19260.7222917526
2024-07-07,21724.5,19209.219633414912
2024-07-08,23960.041666666668,20661.599414654964
2024-07-09,24370.041666666668,20893.600683635646
2024-07-10,24861.625,21009.3886357003
2024-07-11,23347.708333333332,21036.002549601417
2024-07-12,22375.875,20952.8598244446
2024-07-13,21450.416666666668,20077.921808286923
2024-07-14,21625.083333333332,19942.32182627916
2024-07-15,24260.25,21305.760878225927
2024-07-16,24690.291666666668,21445.02361038975
2024-07-17,23834.25,21465.400619708602
2024-07-18,21793.625,21395.11572959953
2024-07-19,19789.916666666668,21214.80765198605
2024-07-20,19051.666666666668,20243.672199835983
2024-07-21,20110.541666666668,20014.065971984368
2024-07-22,21935.708333333332,21286.87752290091
2024-07-23,21487.375,21340.019180527277
2024-07-24,21762.125,21279.826131159076
2024-07-25,21017.291666666668,21135.461959259123
2024-07-26,19146.25,20888.380579963068
2024-07-27,18616.75,19858.451212264954
2024-07-28,19043.375,19578.547746394488
2024-07-29,21363.458333333332,20809.90888576146
2024-07-30,22878.458333333332,20830.6225206172
