datetime,forecast
2025-08-27,19947.918259126058
2025-08-28,19786.54202252591
2025-08-29,19473.143729291547
2025-08-30,18450.749842273668
2025-08-31,18181.100717142363
2025-09-01,19324.39480049301
2025-09-02,19315.82277638402
2025-09-03,19244.875882056607
2025-09-04,19056.047931383433
2025-09-05,18717.84828874666
2025-09-06,17673.685720987494
2025-09-07,17385.594972163013
2025-09-08,18513.97656272274
2025-09-09,18494.12943362829
2025-09-10,18415.560645236503
2025-09-11,18222.6915720516
2025-09-12,17883.87765531831
2025-09-13,16842.30138299394
2025-09-14,16559.710014564516
2025-09-15,17696.16816595862
2025-09-16,17686.604441859312
2025-09-17,17620.135858258647
2025-09-18,17440.789010383975
2025-09-19,17116.53455757212
2025-09-20,16090.19421527319
2025-09-21,15823.191317881221
2025-09-22,16975.314653605405
2025-09-23,16981.27439702217
2025-09-24,16930.03358429357
2025-09-25,16765.53386119954
