datetime,actual,forecast
2024-01-01,16156.666666666666,17470.376193733835
2024-01-02,17646.375,17385.695735349494
2024-01-03,17821.208333333332,17218.819711385342
2024-01-04,17926.583333333332,17061.37365697918
2024-01-05,18477.166666666668,16862.407751669652
2024-01-06,17758.5,15915.058713539851
2024-01-07,17419.083333333332,15718.191908030269
2024-01-08,17899.625,17030.564768158005
2024-01-09,18154.291666666668,17157.218521192273
2024-01-10,17109.291666666668,17144.208223677666
2024-01-11,17348.083333333332,17057.600933045764
2024-01-12,16957.458333333332,16878.059856986336
2024-01-13,16230.75,15922.28497875741
2024-01-14,17156.416666666668,15715.735924354582
2024-01-15,18758.333333333332,17024.84641469231
2024-01-16,19622.625,17151.3363477609
2024-01-17,20177.083333333332,17139.036564550184
2024-01-18,20158.791666666668,17053.018736765243
2024-01-19,19802.958333333332,16873.771528582998
2024-01-20,19724.875,15918.032373107091
2024-01-21,19309.833333333332,15711.454446592174
2024-01-22,19506.5,17020.552929633108
2024-01-23,18614.25,17147.0413130764
2024-01-24,18097.5,17134.743759050416
2024-01-25,17127.125,17048.727998870825
2024-01-26,17301.166666666668,16869.481870514453
2024-01-27,16326.625,15913.742620527722
2024-01-28,16854.25,15707.164460091142
2024-01-29,18271.5,17016.26293281372
2024-01-30,18454.666666666668,17142.751371628277
2024-01-31,18154.625,17130.453868581735
2024-02-01,17823.583333333332,17044.438135167948
2024-02-02,17613.583333333332,16865.192015766377
2024-02-03,16430.75,15909.452762903407
2024-02-04,16203.041666666666,15702.874598862454
2024-02-05,17442.541666666668,17011.97307063691
2024-02-06,17628.25,17138.461509618846
2024-02-07,17495.125,17126.164006965148
2024-02-08,16830.041666666668,17040.148273817656
2024-02-09,16252.708333333334,16860.902154532025
2024-02-10,15266.791666666666,15905.162901668642
2024-02-11,15634.0,15698.584737606256
2024-02-12,17021.458333333332,17007.683209373674
2024-02-13,17805.25,17134.171648355667
2024-02-14,18200.0,17121.874145703976
2024-02-15,18394.708333333332,17035.858412558024
2024-02-16,17780.166666666668,16856.61229327312
2024-02-17,17555.041666666668,15900.873040409713
2024-02-18,17456.333333333332,15694.294876347187
2024-02-19,17325.208333333332,17003.393348114576
2024-02-20,17841.0,17129.88178709658
2024-02-21,17424.833333333332,17117.58428444491
2024-02-22,17353.791666666668,17031.568551298973
2024-02-23,16716.083333333332,16852.322432014076
2024-02-24,16197.041666666666,15896.583179150672
2024-02-25,16383.916666666666,15690.005015088143
2024-02-26,16473.791666666668,16999.103486855533
2024-02-27,16058.666666666666,17125.59192583754
2024-02-28,16525.958333333332,17113.294423185867
2024-02-29,17566.75,17027.27869003993
2024-03-01,16763.208333333332,16848.032570755033
2024-03-02,16122.708333333334,15892.293317891626
2024-03-03,14652.625,15685.715153829098
2024-03-04,15319.958333333334,16994.813625596486
2024-03-05,16028.708333333334,17121.302064578493
2024-03-06,16213.208333333334,17109.00456192682
2024-03-07,15880.0,17022.988828780883
2024-03-08,15311.625,16843.742709495986
2024-03-09,15824.208333333334,15888.00345663258
2024-03-10,15630.391304347826,15681.425292570051
2024-03-11,16506.75,16990.523764337442
2024-03-12,15336.5,17117.01220331945
2024-03-13,14991.666666666666,17104.714700667777
2024-03-14,14880.458333333334,17018.69896752184
2024-03-15,15272.708333333334,16839.452848236942
2024-03-16,13975.458333333334,15883.713595373536
2024-03-17,14033.041666666666,15677.135431311008
2024-03-18,15929.083333333334,16986.2339030784
2024-03-19,16391.875,17112.722342060406
2024-03-20,16571.25,17100.424839408734
2024-03-21,17100.25,17014.409106262796
2024-03-22,17307.083333333332,16835.1629869779
2024-03-23,16718.333333333332,15879.423734114493
2024-03-24,15588.5,15672.845570051964
2024-03-25,15999.208333333334,16981.944041819355
2024-03-26,16065.041666666666,17108.432480801363
2024-03-27,15977.0,17096.13497814969
2024-03-28,16068.333333333334,17010.119245003752
2024-03-29,15373.791666666666,16830.873125718856
2024-03-30,14352.25,15875.13387285545
2024-03-31,13534.75,15668.555708792921
2024-04-01,15312.791666666666,16977.654180560312
2024-04-02,16129.041666666666,17104.14261954232
2024-04-03,16960.208333333332,17091.845116890647
2024-04-04,16570.375,17005.82938374471
2024-04-05,16182.416666666666,16826.583264459812
2024-04-06,14836.416666666666,15870.844011596406
2024-04-07,13818.541666666666,15664.265847533878
2024-04-08,14981.625,16973.36431930127
2024-04-09,14448.666666666666,17099.852758283276
2024-04-10,14800.5,17087.555255631603
2024-04-11,15243.375,17001.539522485666
2024-04-12,15083.333333333334,16822.29340320077
2024-04-13,14531.0,15866.554150337362
2024-04-14,13970.041666666666,15659.975986274834
2024-04-15,14596.083333333334,16969.074458042225
2024-04-16,14145.5,17095.562897024232
2024-04-17,14850.333333333334,17083.26539437256
2024-04-18,15594.0,16997.249661226622
2024-04-19,14956.25,16818.003541941725
2024-04-20,13862.541666666666,15862.264289078319
2024-04-21,14115.958333333334,15655.68612501579
2024-04-22,14269.375,16964.78459678318
2024-04-23,14264.5,17091.27303576519
2024-04-24,14810.0,17078.975533113517
2024-04-25,14328.833333333334,16992.95979996758
2024-04-26,14161.208333333334,16813.713680682682
2024-04-27,13588.166666666666,15857.974427819276
2024-04-28,13549.0,15651.396263756747
2024-04-29,15292.291666666666,16960.49473552414
2024-04-30,14900.583333333334,17086.983174506146
2024-05-01,14606.583333333334,17074.685671854473
2024-05-02,14580.666666666666,16988.669938708535
2024-05-03,14247.5,16809.42381942364
2024-05-04,13422.458333333334,15853.684566560232
2024-05-05,14081.625,15647.106402497704
2024-05-06,14607.125,16956.204874265095
2024-05-07,14639.791666666666,17082.693313247102
2024-05-08,15722.125,17070.39581059543
2024-05-09,15042.083333333334,16984.380077449492
2024-05-10,14812.875,16805.133958164595
2024-05-11,13286.708333333334,15849.394705301189
2024-05-12,13436.625,15642.81654123866
2024-05-13,14498.083333333334,16951.91501300605
2024-05-14,14779.625,17078.40345198806
2024-05-15,15308.875,17066.105949336386
2024-05-16,15158.75,16980.09021619045
2024-05-17,14944.875,16800.844096905552
2024-05-18,14040.083333333334,15845.104844042145
2024-05-19,14002.375,15638.526679979617
2024-05-20,15734.833333333334,16947.62515174701
2024-05-21,17038.083333333332,17074.113590729015
2024-05-22,18099.041666666668,17061.816088077343
2024-05-23,17705.708333333332,16975.800354931405
2024-05-24,17250.5,16796.55423564651
2024-05-25,15634.583333333334,15840.814982783102
2024-05-26,15939.5,15634.236818720574
2024-05-27,16623.916666666668,16943.335290487965
2024-05-28,17332.416666666668,17069.823729469972
2024-05-29,16414.375,17057.5262268183
2024-05-30,15355.125,16971.510493672362
2024-05-31,15240.833333333334,16792.264374387465
2024-06-01,15007.625,15836.525121524059
2024-06-02,15755.541666666666,15629.94695746153
2024-06-03,18680.958333333332,16939.04542922892
2024-06-04,18962.333333333332,17065.53386821093
2024-06-05,19208.708333333332,17053.236365559256
2024-06-06,19803.125,16967.22063241332
2024-06-07,18240.791666666668,16787.97451312842
2024-06-08,15800.666666666666,15832.235260265015
2024-06-09,15538.291666666666,15625.657096202487
2024-06-10,16550.375,16934.755567969878
2024-06-11,16500.916666666668,17061.244006951885
2024-06-12,16669.708333333332,17048.946504300213
2024-06-13,18245.208333333332,16962.930771154275
2024-06-14,19187.5,16783.68465186938
2024-06-15,16369.0,15827.945399005972
2024-06-16,15555.416666666666,15621.367234943444
2024-06-17,19695.916666666668,16930.465706710835
2024-06-18,22024.875,17056.954145692842
2024-06-19,22666.583333333332,17044.65664304117
2024-06-20,23348.791666666668,16958.64090989523
2024-06-21,23739.458333333332,16779.394790610335
2024-06-22,22293.833333333332,15823.655537746929
2024-06-23,22024.458333333332,15617.0773736844
2024-06-24,20328.0,16926.17584545179
2024-06-25,20347.208333333332,17052.6642844338
2024-06-26,21896.375,17040.366781782126
2024-06-27,19766.166666666668,16954.35104863619
2024-06-28,17237.666666666668,16775.10492935129
2024-06-29,17873.583333333332,15819.365676487885
2024-06-30,19159.083333333332,15612.787512425357
2024-07-01,17964.708333333332,16921.885984192748
2024-07-02,18448.5,17048.374423174755
2024-07-03,19335.333333333332,17036.076920523083
2024-07-04,19512.666666666668,16950.061187377145
2024-07-05,22294.25,16770.815068092248
2024-07-06,21835.125,15815.075815228842
2024-07-07,21724.5,15608.497651166314
2024-07-08,23960.041666666668,16917.596122933704
2024-07-09,24370.041666666668,17044.08456191571
2024-07-10,24861.625,17031.78705926404
2024-07-11,23347.708333333332,16945.7713261181
2024-07-12,22375.875,16766.525206833205
2024-07-13,21450.416666666668,15810.785953969798
2024-07-14,21625.083333333332,15604.20778990727
2024-07-15,24260.25,16913.30626167466
2024-07-16,24690.291666666668,17039.79470065667
2024-07-17,23834.25,17027.497198004996
2024-07-18,21793.625,16941.481464859058
2024-07-19,19789.916666666668,16762.23534557416
2024-07-20,19051.666666666668,15806.496092710755
2024-07-21,20110.541666666668,15599.917928648227
2024-07-22,21935.708333333332,16909.016400415618
2024-07-23,21487.375,17035.504839397625
2024-07-24,21762.125,17023.207336745952
2024-07-25,21017.291666666668,16937.191603600015
2024-07-26,19146.25,16757.945484315118
2024-07-27,18616.75,15802.206231451712
2024-07-28,19043.375,15595.628067389183
2024-07-29,21363.458333333332,16904.726539156574
2024-07-30,22878.458333333332,17031.21497813858
2024-07-31,23581.958333333332,17018.91747548691
2024-08-01,24097.375,16932.90174234097
2024-08-02,24167.333333333332,16753.655623056075
2024-08-03,22370.666666666668,15797.916370192668
2024-08-04,20906.791666666668,15591.33820613014
2024-08-05,22693.708333333332,16900.43667789753
2024-08-06,22394.25,17026.925116879538
2024-08-07,18708.0,17014.627614227866
2024-08-08,18215.125,16928.611881081928
2024-08-09,20789.708333333332,16749.36576179703
2024-08-10,19137.5,15793.626508933625
2024-08-11,17575.416666666668,15587.048344871097
2024-08-12,18177.875,16896.146816638488
