datetime,forecast
2025-08-27,16966.594952984076
2025-08-28,17431.344585231407
2025-08-29,17666.536008850133
2025-08-30,17007.952180740795
2025-08-31,16960.293094082994
2025-09-01,18233.505341155364
2025-09-02,18316.68213130915
2025-09-03,18344.896001671077
2025-09-04,18284.60993281931
2025-09-05,18067.046547289498
2025-09-06,17156.153490490775
2025-09-07,16993.271264263338
2025-09-08,18229.362880267305
2025-09-09,18349.122972416026
2025-09-10,18381.152014150666
2025-09-11,18306.816350921294
2025-09-12,18077.231290312408
2025-09-13,17159.646618234154
2025-09-14,16993.704759020744
2025-09-15,18228.81823402609
2025-09-16,18349.61889760793
2025-09-17,18381.757790255044
2025-09-18,18307.028727288125
2025-09-19,18077.106608026217
2025-09-20,17159.334250349337
2025-09-21,16993.30656475294
2025-09-22,18228.392582850774
2025-09-23,18349.222312238675
2025-09-24,18381.36426944436
2025-09-25,18306.62420530193
